,Unnamed: 0,reference,translation,similarity,lenght_diff,ref_tox,trn_tox
50000,50000,"If I come to hate you, there won'tbe a single person I'd like more in this world.","because if I did, there wouldn't be anyone else I'd like.",0.629244815111,0.2926829268292683,0.9833553433418274,4.664694279199466e-05
50001,50001,"""Then you're thinking he might be queer.""","""you think he's gay after all.""",0.717757966436,0.238095238095238,0.0361985191702842,0.8624359965324402
50002,50002,"Mr. LeMoyne, I saw you and Murphy Doucet kill DeWitt Prejean out on the Atchafalaya.","I saw you and Murphy's Doucet, kill Dewitt Prejean in Atchafalaya.",0.927182038059,0.2117647058823529,0.02182905562222,0.5779414772987366
50003,50003,Is there anyone I haven't fucked over?,is there someone I didn't cheat on?,0.683011576849,0.0769230769230769,0.973440170288086,7.581310637760907e-05
50004,50004,I cleaned up your slop.,I cleaned up the mess.,0.7908354230069999,0.0416666666666666,0.9957245588302612,0.000224128307309
50005,50005,"Well, this looks like super fun... ...but I should probably go do something that doesn't suck.","well, that seems like super fun, but I should probably go do something that doesn't stick.",0.8836235190360001,0.0421052631578947,0.5056109428405762,4.258687113178894e-05
50006,50006,"She loves rainbows, and it smells like fake fruit cereal.",she loves the rainbow and smells like rotten fruit cereal.,0.8750896410250001,0.0169491525423728,0.0100077483803033,0.945501446723938
50007,50007,"You, guard ""nipples.""","you're going to watch ""fatass.""",0.73042672148,0.3125,0.9095572233200072,0.1816052943468094
50008,50008,"Now I brought you here to sell some Evonne, and by damn it, I'm going to sell some Evonne.","I brought you here to sell some Yvonne cosmetics, and I'm gonna sell some.",0.7947966221170001,0.1758241758241758,0.983878493309021,5.884564234293066e-05
50009,50009,Pussay Patrol?!,Pussy Patrol?!,0.8332869426989999,0.0625,0.0159882567822933,0.9656034111976624
50010,50010,What the devil is this?,what the hell is that?,0.834924944403,0.0416666666666666,0.0126589471474289,0.94244122505188
50011,50011,"Bless me, Father, for I have just killed quite a few men.","bless me, Father. I have killed several people.",0.830684453081,0.1724137931034483,0.7915843725204468,0.1925448030233383
50012,50012,"Fourteen rooms in all, a ridiculous number of rooms.","fourteen rooms, a ridiculous number.",0.899177700756,0.3018867924528302,0.2628071308135986,0.9240038990974426
50013,50013,Nanny licked a finger and held it up to the wind.,nanny licked her finger and set him in the wind.,0.8426066197650001,0.02,0.0082398382946848,0.9294257164001464
50014,50014,What if we each get a fourth and she gets like a third? Are you nuts?,we get every quarter and say she's one-third?,0.667497704676,0.3428571428571428,0.9976463913917542,3.644258322310634e-05
50015,50015,You don't play me like that.,but you don't fuck me up like that.,0.676826764426,0.1944444444444444,0.0007335339905694,0.9965948462486268
