,reference,translation
0,"If I come to hate you, there won'tbe a single person I'd like more in this world.","because if I did, there wouldn't be anyone else I'd like."
1,"""Then you're thinking he might be queer.""","""you think he's gay after all."""
2,"Mr. LeMoyne, I saw you and Murphy Doucet kill DeWitt Prejean out on the Atchafalaya.","I saw you and Murphy's Doucet, kill Dewitt Prejean in Atchafalaya."
3,Is there anyone I haven't fucked over?,is there someone I didn't cheat on?
4,I cleaned up your slop.,I cleaned up the mess.
5,"Well, this looks like super fun... ...but I should probably go do something that doesn't suck.","well, that seems like super fun, but I should probably go do something that doesn't stick."
6,"She loves rainbows, and it smells like fake fruit cereal.",she loves the rainbow and smells like rotten fruit cereal.
7,"You, guard ""nipples.""","you're going to watch ""fatass."""
8,"Now I brought you here to sell some Evonne, and by damn it, I'm going to sell some Evonne.","I brought you here to sell some Yvonne cosmetics, and I'm gonna sell some."
9,Pussay Patrol?!,Pussy Patrol?!
10,What the devil is this?,what the hell is that?
11,"Bless me, Father, for I have just killed quite a few men.","bless me, Father. I have killed several people."
12,"Fourteen rooms in all, a ridiculous number of rooms.","fourteen rooms, a ridiculous number."
13,Nanny licked a finger and held it up to the wind.,nanny licked her finger and set him in the wind.
14,What if we each get a fourth and she gets like a third? Are you nuts?,we get every quarter and say she's one-third?
15,You don't play me like that.,but you don't fuck me up like that.
16,I need a shot.,I need a drink.
17,"Into your hands, I commend this crap.",I put this mess in your hands.
18,"He has a rash, which is why he can't go in the ball pit.","he has a rash, so he can't go swimming with balls."
19,"Actually, Joy, I'm gonna keep my phone, the donkey... and I would like the stick.","actually, Joy, I'm gonna keep my cell phone, donkey... and I want that pole."
20,'All I hope is that those murdering devils do not come to this House and trouble the sick.',"""I only hope the assassins don't come to the House, and they won't disturb the sick."""
21,I don't need a fight from you.,I'd hate to fight you.
22,Batteries must be dead.,there must have been batteries.
23,"He been beaten by Santos, threatened with death.",Santos beat him up and threatened him with death.
24,"Hell, general, we can hold them all the livelong day.","hell, General, we can hold them all day."
25,Not unless they shot him from the blue seats at the Garden. No.,not if they didn't shoot from the blue seats in the Garden.
26,I think I irritate her.,I think I'm gonna piss her off.
27,Nothing. Forget the tits.,"nothing, forget it."
28,"You're a good lad, Tony, but it's no use.","you're good, but it's useless."
29,I'm crying all the fucking time.,I'm crying all the time.
30,"Shouting curses and threats, the Phibians attacked the tangled worm, stabbing and cutting.","they were shouting curses and threats, attacking a tangled worm, stabbing him and cutting him."
31,Bastard from a basket.,a doll from the basket.
32,Buying real estate in a college town is a pain in the ass.,exactly...... buying a property in a college town is like a splinter.
33,You tried to pawn me off on her and I didn't go for it.,you tried to hang her on me and I didn't go for it.
34,Queer basher!,homelluk!
35,You're the biggest fuck-up I know.,you're the biggest paw I know.
36,Se-niou. High-tech Alliance crap!,shee-niou hi-tech scrap Alliance!
37,Hurt them first so you don't worry about... ...how you're gonna let them down.,"you hurt them first, so you don't have to worry, you can eventually send them to the ground later."
38,Who the hell was that? I think we just heard from jack the ripper.,I think we just talked to Jack the Ripper.
39,How is a young thing like you gonna kill Xena?,how would a whistle like that kill Xena?
40,"And if you ever return, the next payment will be taken in blood.""","and if you ever return, the next payment will be selected in your blood. """
41,"""If you didn't screw the cow, she's not your cow.""","""if you don't appreciate the cow, it's not your cow."""
42,"That, my friend, will get you the ugly poinsettia.","we'll give you that, my friend, the nasty Christmas star."
43,"In this case, by their killer.",in this case your killer.
44,I thought he was an old clump of rags.,I thought it was just a bunch of old rags.
45,A freaking tornado!,a huge tornado!
46,A man who claims the throne of a dead country is nine kinds of fool.,a guy reporting on the throne of a non-existent country is crazy about nine ways.
47,He's just killing these people to prove that he can?,does he kill those people just to prove that he can?
48,"AARON: She steals my shit, and you let her get away!",he steals my stuff and you let her go!
49,"Any woman would follow me madly like a dog, but I didn't get her because of you.",every woman would come after me like a bitch... but I can't get it for you.
50,"Bro, you screwed me.","dude, you double-crossed me."
51,"look,we've broken up so many times so many times afterwards I've just wanted him to be miserable,you know?","look, we've broken up so many times, so many times, and then I just wanted him to feel bad."
52,Now I want you to question all your scum-bucket friends. Find out what they know about those stolen costumes.,you have to find out what the guys know about the stolen costumes.
53,Maybe he can talk me out of suing your asses.,maybe he'll talk me out of jail.
54,The Russians are gonna grab a couple of Lamborghinis.,the Russians are going to urinate a couple of Lamborghini.
55,It's convincing enough... ... but what the devil are you two rascals up to now?,"it's convincing, but what are you rascals up to now?"
56,I want you to stash the mayor in a closet,hide the mayor in the closet.
57,"You don't need to die. - No, bro.",you don't have to die.
58,Your fucking bag is mine now.,your backpack is mine now.
59,"Tell him we will post results at the window, we retain the image.","tell him I'll put on the results for the window, but we'll keep the damn pictures."
60,"The big, bad lady is here and she is cold.",the big bad lady is here and she's glamorous!
61,"I'm okay with that and everything, but my dad is crazed.","I like this, but my father isn't normal."
62,He's shooting at us!,he's shooting at us.
63,"You point this at his head if he fucks around, all right?","if anything, point it at his head."
64,"Are you blaming me, douche nozzle?","are you blaming me, you little prick?"
65,But I like my sex the way I play basketball - one-on-one and with as little dribbling as possible.,"but I like sex like I play basketball - one on one, and the least driverless."
66,There are even movies about it with a lot of wrong stuff.,there are even films about it with a lot of rubbish.
67,I'm sorry you had to settle for Dave The one-dimensional man,"I'm really sorry you're dating Dave, the stupid guy."
68,"Either take this dumpling and be a dumpling guy, or you train with me, and be a do-ing guy.","either take this dumpling guy and be a dumbass guy, or practice with me and be a trained guy."
69,Only if you don't mind us rifling through your drawers.,"if you don't mind, we're gonna rip your drawers out."
70,Aw. Hate it.,I hate him.
71,One more blow at his defenseless friend would have sent him at Pew Mogel's throat.,"there would be one more strike aimed at his defenceless friend, and John Carter would have cast Pew Mogel's throat."
72,"You know, actually, that's not bad.","but you know, in fact, it's not stupid."
73,"I hate people that pretend that they want everyone to celebrate their death you know, and everyone is having a blast at the party and nobody gives a shit for the dead.","I hate people who pretend they'd want their death to be celebrated, and everyone would have fun at a party, and they wouldn't care about the dead one."
74,The Duck of Death is as good as dead because Corky does it right.,"he's burned to death, because Corky does it well."
75,Such was Cajivak's cruelty that he would have dragged Druss out to see them slain.,Cajivac's cruelty was such that he would let Druss pull out so he would have to watch how he was killing them.
76,"Get outta my way, I'll make you look like a genius.","you get out of my way, and I'll let you look like a genius."
77,"He was still moving in her, instinctively still supplying the last of his flow, when she looked very startled, thrashed underneath, squeezed her eyes shut, and cried, “Oh, God, fuck, fuck!”","he was still moving in her mouth, trying to take all the fluid out of him, when she suddenly looked alarmed, moved beneath him, closed her eyelids, and screamed, ""Oh my God, one more, come on!"""
78,I'd load me up some bombs and I'd let them have it.,"I'd load some bombs and throw them at them. """
79,Are you going to take me to the damn park or not?,will you take me to the park or not?
